,a2i,vowels,binary
9726,protocol,3,0000000000000011100001110010110111111101001101111110001111011111101100
9727,shadmehr,2,0000000000000011100111101000110000111001001101101110010111010001110010
9728,sarsa,2,0000000000000000000000000000000000011100111100001111001011100111100001
9729,extremum,3,0000000000000011001011111000111010011100101100101110110111101011101101
9730,knerr,1,0000000000000000000000000000000000011010111101110110010111100101110010
9731,rational,4,0000000000000011100101100001111010011010011101111110111011000011101100
9732,positively,4,1110000110111111100111101001111010011010011110110110010111011001111001
9733,nettalk,2,0000000000000000000001101110110010111101001110100110000111011001101011
9734,canberra,3,0000000000000011000111100001110111011000101100101111001011100101100001
9736,analytical,4,1100001110111011000011101100111100111101001101001110001111000011101100
9737,traverses,3,0000000111010011100101100001111011011001011110010111001111001011110011
9738,precursor,3,0000000111000011100101100101110001111101011110010111001111011111110010
9739,iteration,5,0000000110100111101001100101111001011000011110100110100111011111101110
9740,cvpr,0,0000000000000000000000000000000000000000001100011111011011100001110010
9741,exposures,4,0000000110010111110001110000110111111100111110101111001011001011110011
9742,realm,2,0000000000000000000000000000000000011100101100101110000111011001101101
9743,allow,2,0000000000000000000000000000000000011000011101100110110011011111110111
9744,vogl,1,0000000000000000000000000000000000000000001110110110111111001111101100
9745,collateral,4,1100011110111111011001101100110000111101001100101111001011000011101100
9746,grzywacz,1,0000000000000011001111110010111101011110011110111110000111000111111010
9748,weiss,2,0000000000000000000000000000000000011101111100101110100111100111110011
9749,commonly,2,0000000000000011000111101111110110111011011101111110111011011001111001
9750,currency,2,0000000000000011000111110101111001011100101100101110111011000111111001
9751,cies,2,0000000000000000000000000000000000000000001100011110100111001011110011
9752,rfm,0,0000000000000000000000000000000000000000000000000111001011001101101101
9755,esprit,2,0000000000000000000000000000110010111100111110000111001011010011110100
9756,brook,2,0000000000000000000000000000000000011000101110010110111111011111101011
9757,ancestor,3,0000000000000011000011101110110001111001011110011111010011011111110010
9758,translated,3,1110100111001011000011101110111001111011001100001111010011001011100100
9759,termined,3,0000000000000011101001100101111001011011011101001110111011001011100100
9760,stein,2,0000000000000000000000000000000000011100111110100110010111010011101110
9761,pbr,0,0000000000000000000000000000000000000000000000000111000011000101110010
9762,washington,3,1110111110000111100111101000110100111011101100111111010011011111101110
9763,koenderink,4,1101011110111111001011101110110010011001011110010110100111011101101011
9765,creation,4,0000000000000011000111110010110010111000011110100110100111011111101110
9766,photo,2,0000000000000000000000000000000000011100001101000110111111101001101111
9767,schema,2,0000000000000000000000000000111001111000111101000110010111011011100001
9768,autotypist,4,1100001111010111101001101111111010011110011110000110100111100111110100
9769,tremendous,4,1110100111001011001011101101110010111011101100100110111111101011110011
9770,restricted,3,1110010110010111100111110100111001011010011100011111010011001011100100
9771,ohio,3,0000000000000000000000000000000000000000001101111110100011010011101111
9773,clusteron,3,0000000110001111011001110101111001111101001100101111001011011111101110
9776,keefe,3,0000000000000000000000000000000000011010111100101110010111001101100101
9777,mnist,1,0000000000000000000000000000000000011011011101110110100111100111110100
9778,speaker,3,0000000000000000000001110011111000011001011100001110101111001011110010
9779,symmetry,1,0000000000000011100111111001110110111011011100101111010011100101111001
9780,leon,2,0000000000000000000000000000000000000000001101100110010111011111101110
9781,saying,2,0000000000000000000000000000111001111000011111001110100111011101100111
9782,integrated,4,1101001110111011101001100101110011111100101100001111010011001011100100
9783,amorphous,4,0000000110000111011011101111111001011100001101000110111111101011110011
9784,analyzes,3,0000000000000011000011101110110000111011001111001111101011001011110011
9785,buffalo,3,0000000000000000000001100010111010111001101100110110000111011001101111
9786,drf,0,0000000000000000000000000000000000000000000000000110010011100101100110
9787,notion,3,0000000000000000000000000000110111011011111110100110100111011111101110
9788,trigram,2,0000000000000000000001110100111001011010011100111111001011000011101101
9789,suitable,4,0000000000000011100111110101110100111101001100001110001011011001100101
9790,naptic,2,0000000000000000000000000000110111011000011110000111010011010011100011
9791,h3c,0,0000000000000000000000000000000000000000000000000011010001100111100011
9792,macqueen,4,0000000000000011011011100001110001111100011110101110010111001011101110
9793,contact,2,0000000000000000000001100011110111111011101110100110000111000111110100
9794,loopy,2,0000000000000000000000000000000000011011001101111110111111100001111001
9795,cybenko,2,0000000000000000000001100011111100111000101100101110111011010111101111
9796,schematic,3,0000000111001111000111101000110010111011011100001111010011010011100011
9797,attenuated,5,1100001111010011101001100101110111011101011100001111010011001011100100
9798,neighbour,4,0000000110111011001011101001110011111010001100010110111111101011110010
9799,briefly,2,0000000000000000000001100010111001011010011100101110011011011001111001
9800,ministry,2,0000000000000011011011101001110111011010011110011111010011100101111001
9801,eric,2,0000000000000000000000000000000000000000001100101111001011010011100011
9802,vice,2,0000000000000000000000000000000000000000001110110110100111000111100101
9803,propor,2,0000000000000000000000000000111000011100101101111111000011011111110010
9804,decayed,3,0000000000000000000001100100110010111000111100001111100111001011100100
9805,utilized,4,0000000000000011101011110100110100111011001101001111101011001011100100
9806,efficiency,4,1100101110011011001101101001110001111010011100101110111011000111111001
9807,sen,1,0000000000000000000000000000000000000000000000000111001111001011101110
9808,mateo,3,0000000000000000000000000000000000011011011100001111010011001011101111
9809,trigger,2,0000000000000000000001110100111001011010011100111110011111001011110010
9810,highway,2,0000000000000000000001101000110100111001111101000111011111000011111001
9811,home,2,0000000000000000000000000000000000000000001101000110111111011011100101
9812,cumulant,3,0000000000000011000111110101110110111101011101100110000111011101110100
9813,fiat,2,0000000000000000000000000000000000000000001100110110100111000011110100
9814,vss,0,0000000000000000000000000000000000000000000000000111011011100111110011
9815,sodium,3,0000000000000000000000000000111001111011111100100110100111101011101101
9816,misses,2,0000000000000000000000000000110110111010011110011111001111001011110011
9818,figtire,3,0000000000000000000001100110110100111001111110100110100111100101100101
9819,tsai,2,0000000000000000000000000000000000000000001110100111001111000011101001
9820,theor,2,0000000000000000000000000000000000011101001101000110010111011111110010
9821,yuan,2,0000000000000000000000000000000000000000001111001111010111000011101110
9822,kitten,2,0000000000000000000000000000110101111010011110100111010011001011101110
9823,lvm,0,0000000000000000000000000000000000000000000000000110110011101101101101
9825,rosci,2,0000000000000000000000000000000000011100101101111111001111000111101001
9826,reward,2,0000000000000000000000000000111001011001011110111110000111100101100100
9827,piscataway,4,1110000110100111100111100011110000111101001100001111011111000011111001
9828,roi,2,0000000000000000000000000000000000000000000000000111001011011111101001
9829,proaches,3,0000000000000011100001110010110111111000011100011110100011001011110011
9830,senses,2,0000000000000000000000000000111001111001011101110111001111001011110011
9831,synergy,1,0000000000000000000001110011111100111011101100101111001011001111111001
9832,csi,1,0000000000000000000000000000000000000000000000000110001111100111101001
9833,nullclines,3,1101110111010111011001101100110001111011001101001110111011001011110011
9834,serving,2,0000000000000000000001110011110010111100101110110110100111011101100111
9835,lighter,2,0000000000000000000001101100110100111001111101000111010011001011110010
9836,closer,2,0000000000000000000000000000110001111011001101111111001111001011110010
9837,shadowing,3,0000000111001111010001100001110010011011111110111110100111011101100111
9838,ates,2,0000000000000000000000000000000000000000001100001111010011001011110011
9839,tered,2,0000000000000000000000000000000000011101001100101111001011001011100100
9841,cca,1,0000000000000000000000000000000000000000000000000110001111000111100001
9842,goodhill,3,0000000000000011001111101111110111111001001101000110100111011001101100
9844,mercer,2,0000000000000000000000000000110110111001011110010110001111001011110010
9845,undefined,4,0000000111010111011101100100110010111001101101001110111011001011100100
9846,tissue,3,0000000000000000000000000000111010011010011110011111001111101011100101
9847,rpn,0,0000000000000000000000000000000000000000000000000111001011100001101110
9848,help,1,0000000000000000000000000000000000000000001101000110010111011001110000
9849,rosenberg,3,0000000111001011011111110011110010111011101100010110010111100101100111
9850,success,2,0000000000000000000001110011111010111000111100011110010111100111110011
